;;;;;;;;males;;;;females;;;males;females;offspring;;;;
;;;;;;;;white eyes;;;;red eyes;;;red eyes;white eyes;;;;;
vialNr;fliesScoredBy;vialsScoredBy;population;line;mother;cross;genotype;males_whiteeyes_RG;males_whiteeyes_G;males_whiteeyes_R;males_whiteeyes_N;females_redeyes_R;females_redeyes_NR;females_redeyes_unclear;males_redeyes_unclear;females_whiteeyes_NR;offspring_unclear;unhatched;dead;mediumLooks;notes
200;Nicky;Nicky;MA;5;2;1;CO;0;24;0;25;0;0;58;0;0;0;6;0;brown;black larvae (5ish)
201;Nicky;Nicky;AK;3;1;2;CO;0;23;0;21;0;0;54;0;0;0;0;0;fresh;
202;Nicky;Nicky;KA;7;1;3;CO;0;38;0;27;0;0;51;0;0;0;2;0;fresh;
203;Nicky;Nicky;KA;7;4;4;GD;15;3;30;1;0;0;47;0;0;0;9;0;fresh;
204;Gabriella;Gabriella;MU;4;4;3;CO;0;17;0;18;0;0;40;0;0;0;1;0;fresh;
205;Gabriella;Gabriella;UM;4;3;4;GD;3;2;6;1;0;0;20;0;0;0;0;0;fresh;
206;Gabriella;Gabriella;KA;7;4;2;GD;10;3;7;6;0;0;32;0;0;0;0;0;fresh;
207;Gabriella;Gabriella;MA;1;1;1;GD;15;2;14;2;0;0;44;0;0;0;8;0;fresh;
208;Gabriella;Gabriella;AK;2;2;3;GD;10;0;14;6;0;0;28;0;0;0;1;0;fresh;
209;Gabriella;Gabriella;MU;6;2;3;CO;0;18;0;17;0;0;38;0;0;0;2;0;fresh;
210;Gabriella;Gabriella;UM;6;2;3;CO;0;2;0;31;0;0;38;0;0;0;0;0;fresh;
211;Gabriella;Gabriella;KA;4;3;4;CO;0;32;0;33;0;0;71;0;0;0;6;0;fresh/brownish;
212;Gabriella;Gabriella;UM;6;2;5;CO;0;30;0;33;0;0;71;0;0;0;2;0;fresh/brownish;
213;Gabriella;Gabriella;KA;1;4;4;CO;0;13;0;20;0;0;23;0;0;0;0;1;fresh;
214;Gabriella;Gabriella;UM;6;3;5;GD;0;7;0;13;0;0;18;0;0;0;14;15;brown;black larvae (20ish)
215;Gabriella;Gabriella;MU;6;2;4;CO;0;2;0;8;0;0;19;0;0;0;0;0;fresh;
216;Gabriella;Gabriella;MA;4;4;3;CO;0;7;0;7;0;0;18;0;9;0;9;0;fresh;black larvae (10ish)
217;Nicky;Nicky;MU;6;2;1;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
218;Nicky;Nicky;UM;3;5;3;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
219;Nicky;Nicky;MU;4;2;5;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
220;Nicky;Nicky;MA;7;3;5;CO;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
221;Nicky;Nicky;UM;4;5;2;GD;0;0;0;0;0;0;0;0;0;0;0;0;fresh;
222;Nicky;Nicky;MU;4;4;4;CO;0;10;0;13;0;0;23;0;0;0;0;0;fresh;
223;Nicky;Nicky;AK;2;2;1;GD;7;1;6;1;0;0;23;0;0;0;0;0;fresh;
224;Nicky;Nicky;RE;1;4;2;CO;0;23;0;35;0;0;54;0;0;0;4;0;fresh;
225;Nicky;Nicky;MU;4;1;3;CO;0;8;0;6;0;0;13;0;0;0;0;3;fresh;
226;Nicky;Nicky;MA;7;3;3;CO;0;25;0;30;0;0;40;0;0;0;0;0;fresh;
227;Nicky;Nicky;AK;4;1;1;CO;0;29;0;33;0;0;65;0;0;0;4;0;brown;black larvae (1ish)
228;Nicky;Nicky;UM;4;3;5;CO;0;36;0;25;0;0;51;0;0;0;0;0;fresh;
229;Nicky;Nicky;MA;5;2;4;CO;0;14;0;20;0;0;28;0;0;0;0;0;fresh;black larvae (5ish)
230;Nicky;Nicky;MU;5;2;2;GD;0;10;0;14;0;0;26;0;0;0;5;26;brown;black larvae (20ish)
231;Nicky;Nicky;AK;3;2;1;CO;0;6;0;3;0;0;22;0;0;0;1;0;brown;black larvae (10ish)
